chat_no,model,template_id,question_id,Analytical,Emotionality,Abstraction,Word Count,Self-references,Certainty,Hedges,Lexical Diversity,Reading Difficulty
55,Mixtral-8x7B,1,1711,8.52,19.52,2.571428571,82,0.0,0.0,1.22,53,9.9
56,Mixtral-8x7B,2,1711,-24.09,24.09,2.522021661,83,2.41,2.41,4.82,67,9.4
57,Mixtral-8x7B,3,1711,-27.66,21.29,2.066750235,47,2.13,6.38,2.13,41,8.8
58,Mixtral-8x7B,4,1711,11.0,41.0,2.19047619,100,1.0,0.0,0.0,79,13.3
59,Mixtral-8x7B,5,1711,-4.65,21.3,2.367822626,108,0.0,0.0,1.85,58,12.6
60,Mixtral-8x7B,6,1711,-4.36,20.3,2.294237013,69,1.45,0.0,2.9,53,12.5
61,Dolphin,1,1900,2.64,44.73,3.143322476,38,0.0,0.0,5.26,34,0.0
62,Dolphin,2,1900,-11.49,34.42,2.076923077,61,0.0,0.0,4.92,54,11.2
63,Dolphin,3,1900,-36.86,28.43,2.407107671,95,1.05,2.11,5.26,82,7.2
64,Dolphin,4,1900,-4.41,30.96,2.082901554,113,1.77,0.0,0.88,80,11.2
65,Dolphin,5,1900,-10.86,33.32,2.69,138,0.0,1.45,0.72,102,12.7
66,Dolphin,6,1900,-7.92,25.74,2.740740741,101,0.0,0.0,0.0,86,13.0
67,Gemini-Pro,1,1900,-0.01,30.43,2.571616294,23,0.0,0.0,0.0,21,0.0
68,Gemini-Pro,2,1900,-6.26,31.26,2.222459133,32,0.0,3.13,3.13,29,7.8
69,Gemini-Pro,3,1900,4.0,26.0,2.470588235,50,0.0,0.0,4.0,40,10.1
70,Gemini-Pro,4,1900,-10.95,28.13,2.416533333,64,0.0,0.0,0.0,52,14.6
71,Gemini-Pro,5,1900,-0.87,42.99,2.600091199,114,0.0,0.0,0.88,82,10.1
72,Gemini-Pro,6,1900,0.0,34.29,2.823384109,70,0.0,0.0,0.0,55,9.5
73,GPT-3.5-turbo,1,1900,-15.64,40.64,2.000355366,32,0.0,0.0,0.0,28,0.0
74,GPT-3.5-turbo,2,1900,0.0,27.28,2.5,22,0.0,0.0,0.0,21,0.0
75,GPT-3.5-turbo,3,1900,-28.77,43.84,2.416666667,73,4.11,0.0,6.85,63,9.3
76,GPT-3.5-turbo,4,1900,1.72,29.31,2.696266398,116,0.0,0.86,0.86,83,12.7
77,GPT-3.5-turbo,5,1900,-3.78,37.73,3.027373068,159,0.0,0.63,1.89,109,15.5
78,GPT-3.5-turbo,6,1900,-2.78,41.67,2.761741515,72,0.0,0.0,2.78,59,10.8
79,GPT-4,1,1900,-0.02,12.91,3.0,31,0.0,0.0,9.68,30,0.0
80,GPT-4,2,1900,-14.28,42.87,3.166861144,35,0.0,0.0,11.43,33,9.7
81,GPT-4,3,1900,-19.52,31.72,2.111111111,41,0.0,0.0,2.44,38,0.0
82,GPT-4,4,1900,-5.15,39.17,2.277628032,97,1.03,0.0,0.0,76,15.0
83,GPT-4,5,1900,-3.34,36.65,2.590593047,90,0.0,1.11,3.33,72,12.6
84,GPT-4,6,1900,-12.05,50.6,2.705566406,83,0.0,0.0,2.41,67,14.6
85,Mixtral-8x7B,1,1900,4.46,28.88,2.28566838,45,0.0,0.0,4.44,39,0.0
86,Mixtral-8x7B,2,1900,-9.44,28.31,2.899311076,53,0.0,0.0,3.77,45,0.0
87,Mixtral-8x7B,3,1900,-20.24,28.56,2.555382701,84,3.57,1.19,4.76,68,8.8
88,Mixtral-8x7B,4,1900,-7.79,41.56,2.277706461,77,0.0,2.6,1.3,64,11.7
89,Mixtral-8x7B,5,1900,-7.59,30.38,2.714285714,79,0.0,1.27,3.8,60,13.4
90,Mixtral-8x7B,6,1900,1.66533e-15,30.66,2.193517175,150,0.0,0.0,0.0,95,11.5
91,Dolphin,1,2642,-11.28,37.09,2.176513494,62,0.0,0.0,1.61,55,11.9
92,Dolphin,2,2642,-2.33,18.6,1.937651169,43,2.33,6.98,2.33,38,7.8
93,Dolphin,3,2642,-25.3,50.6,2.406485084,83,1.2,0.0,1.2,68,9.3
94,Dolphin,4,2642,-11.48,49.19,2.666892579,61,0.0,1.64,6.56,49,15.5
95,Dolphin,5,2642,1.96,32.9,2.602440828,307,0.0,0.0,1.63,160,14.6
96,Dolphin,6,2642,-4.74,26.84,2.576543661,190,2.11,1.05,1.58,133,15.7
97,Gemini-Pro,1,2642,6.81,45.45,2.110513447,44,0.0,0.0,0.0,33,11.9
98,Gemini-Pro,2,2642,5.89,35.29,3.4,34,0.0,0.0,5.88,30,0.0
99,Gemini-Pro,3,2642,4.24,38.3,2.499608457,47,0.0,0.0,4.26,38,13.6
100,Gemini-Pro,4,2642,13.0,48.0,1.931034483,100,0.0,0.0,0.0,69,13.4
101,Gemini-Pro,5,2642,-3.15,44.21,2.637942333,190,0.0,0.0,1.58,83,12.5
102,Gemini-Pro,6,2642,-1.28,26.91,2.375585023,156,0.0,0.0,1.92,88,14.6
103,GPT-3.5-turbo,1,2642,-4.36,47.84,2.111167902,23,0.0,0.0,4.35,22,0.0
104,GPT-3.5-turbo,2,2642,0.01,26.66,2.499749875,30,0.0,0.0,10.0,27,0.0
105,GPT-3.5-turbo,3,2642,-32.96,31.83,2.531353135,88,3.41,1.14,11.36,72,9.7
106,GPT-3.5-turbo,4,2642,-1.37,52.06,2.3,73,1.37,0.0,0.0,60,13.0
107,GPT-3.5-turbo,5,2642,5.48,38.72,2.528678304,310,0.0,0.0,1.94,187,16.0
108,GPT-3.5-turbo,6,2642,6.45,25.81,2.437596899,62,0.0,0.0,0.0,46,12.2
109,GPT-4,1,2642,0.01,32.34,2.299897994,34,0.0,0.0,2.94,31,0.0
110,GPT-4,2,2642,-13.34,16.67,2.624671916,60,0.0,0.0,5.0,43,13.4
111,GPT-4,3,2642,-23.4,36.19,2.67995487,94,0.0,0.0,4.26,69,8.4
112,GPT-4,4,2642,-6.96,43.06,2.545157068,72,0.0,0.0,1.39,54,14.6
113,GPT-4,5,2642,-8.79,42.44,2.403811579,205,0.0,0.0,4.88,129,11.7
114,GPT-4,6,2642,-8.61,37.93,2.470668486,58,1.72,0.0,0.0,51,9.5
115,Mixtral-8x7B,1,2642,-11.12,24.44,2.399819901,45,0.0,0.0,4.44,37,0.0
116,Mixtral-8x7B,2,2642,4.28,22.87,2.374744824,70,0.0,4.29,2.86,59,10.7
117,Mixtral-8x7B,3,2642,-24.99,38.09,2.384491115,84,0.0,1.19,9.52,65,8.3
118,Mixtral-8x7B,4,2642,0.93,49.06,2.588088556,106,0.0,0.94,0.0,83,17.4
119,Mixtral-8x7B,5,2642,-13.27,48.1,2.5,158,0.0,1.9,5.06,103,15.9
120,Mixtral-8x7B,6,2642,2.24,26.91,2.37076796,223,0.0,0.0,0.0,121,13.3
